"Nourish the Heart and Calm the Spirit ","Suan Zao Ren Tang","酸棗仁湯","Sour Jujube Decoction"
"Nourish the Heart and Calm the Spirit ","Tian Wang Bu Xin Dan","天王補心丹","Emperor of Heaven's Special Pill to Tonify the Heart"
"Nourish the Heart and Calm the Spirit ","Yang Xin Tang","養心湯","Nourish the Heart Decoction"
"Nourish the Heart and Calm the Spirit ","Zhen Zhu Mu Wan","珍珠母丸","Mother of Pearl Pill"
"Sedate and Calm the Spirit ","Chai Hu Jia Long Gu Mu Li Tang","柴胡加龍骨牡蠣湯","Bupleurum plus Dragon Bone and Oyster Shell Decoction"
"Sedate and Calm the Spirit ","Ci Zhu Wan","磁朱丸","Magnetite and Cinnabar Pill"
"Sedate and Calm the Spirit ","Sheng Tie Lou Yin","生鐵落飲","Iron Filings Decoction"
"Sedate and Calm the Spirit ","Zhu Sha An Shen Wan","朱砂安神丸","Cinnabar Pill to Calm the Spirit"
"Clear Heat and Open the Orifices ","An Gong Niu Huang Wan","安宫牛黃丸","Calm the Palace with Cattle Gallstone Pill"
"Clear Heat and Open the Orifices ","Hui Chun Dan","回春丹","Return of Spring Special Pill"
"Clear Heat and Open the Orifices ","Niu Huang Cheng Qi Tang"," ","Cattle Gallstone Decoction to Order the Qi"
"Clear Heat and Open the Orifices ","Niu Huang Qing Xin Wan","牛黃清心丸","Cattle Gallstone Pill to Clear the Heart"
"Clear Heat and Open the Orifices ","Zhi Bao Dan","至寶丹","Greatest Treasure Special Pill"
"Clear Heat and Open the Orifices ","Zi Xue Dan","紫雪丹","Purple Snow Special Pill"
"Warm and Open the Orifices","Su He Xiang Wan","蘇合香丸","Liquid Styrax Pill"
"Scour Phlegm and Open the Orifices","Di Tan Tang","滌痰湯","Scour Phlegm Decoction"
"Scour Phlegm and Open the Orifices","Gun Tan Wan","滾痰丸","Vaporize Phlegm Pill"
"Scour Phlegm and Open the Orifices","Tong Guan San","通關散","Open the Gate Powder"
"Promote the Movement of Qi ","Ban Xia Hou Po Tang","半夏厚朴湯","Pinellia and Magnolia Bark Decoction"
"Promote the Movement of Qi ","Ben Tun Wan","奔豚丸","Running Piglet Pill"
"Promote the Movement of Qi ","Dao Qi Tang"," ","Conduct the Qi Decoction"
"Promote the Movement of Qi ","Gua Lou Xie Bai Bai Jiu Tang"," ","Trichosanthes Fruit/ Chinese Chive/ and Wine Decoction"
"Promote the Movement of Qi ","Gua Lou Xie Bai Ban Xia Tang"," ","Trichosanthes Fruit/ Chinese Chive/ and Pinellia Decoction"
"Promote the Movement of Qi ","Hou Po Wen Zhong Tang","厚朴温中湯","Magnolia Bark Decoction for Warming the Middle"
"Promote the Movement of Qi ","Jia Wei Wu Yao Tang"," ","Augmented Lindera Decoction"
"Promote the Movement of Qi ","Jin Ling Zi San","金鈴子散","Melia Toosendan Powder"
"Promote the Movement of Qi ","Ju He Wan","橘核丸","Tangerine Seed Pill"
"Promote the Movement of Qi ","Liang Fu Wan","良附丸","Galangal and Cyperuss pill"
"Promote the Movement of Qi ","Nuan Gan Jian","暖肝煎","Warm the Liver Decoction"
"Promote the Movement of Qi ","Pai Qi Yin"," ","Discharge Gas Decoction"
"Promote the Movement of Qi ","Si Qi Tang"," ","Four-Ingredient Decoction for the Seven Emotions"
"Promote the Movement of Qi ","Tian Tai Wu Yao San","天臺烏藥散","Top-Quality Lindera Powder"
"Promote the Movement of Qi ","Yue Ju Wan","越鞠丸","Escape Restraint Pill"
"Promote the Movement of Qi ","Zhi Shi Gua Lou Gui Zhi Tang"," ","Immature Bitter Orange/ Trichosanthes Fruit/ and Cinnamon Twig Decoction"
"Direct Rebellious Qi Downward ","Ding Chuan Tang","定喘湯","Arrest Wheezing Decoction"
"Direct Rebellious Qi Downward ","Ding Xiang Shi Di Tang","丁香柿蒂湯","Clove and Persimmon Calyx Decoction"
"Direct Rebellious Qi Downward ","Gan Jiang Ren Shen Ban Xia Wan"," ","Ginger/ Ginseng and Pinellia Pill"
"Direct Rebellious Qi Downward ","Ju Pi Tang"," ","Tangerine Peel Decoction"
"Direct Rebellious Qi Downward ","Ju Pi Zhu Ru Tang (modified)"," ","Tangerine Peel and Bamboo Shavings Decoction (from formulas to aid the living)"
"Direct Rebellious Qi Downward ","Ju Pi Zhu Ru Tang","橘皮竹茹湯","Tangerine Peel and Bamboo Shavings Decoction"
"Direct Rebellious Qi Downward ","Liu Mo Tang"," ","Six Milled-herb Decoction"
"Direct Rebellious Qi Downward ","Shen Mi Tang"," ","Mysterious Decoction"
"Direct Rebellious Qi Downward ","Shi Di Tang"," ","Persimmon Calyx Decoction"
"Direct Rebellious Qi Downward ","Si Mo Tang","四磨湯","Four Milled-Herb Decoction"
"Direct Rebellious Qi Downward ","Su Zi Jiang Qi Tang","蘇子降氣湯","Perilla Fruit Decoction for Directing Qi Downward"
"Direct Rebellious Qi Downward ","Wu Mo Yin Zi"," ","Five Milled-Herb Decoction"
"Direct Rebellious Qi Downward ","Xin Zhi Ju Pi Zhu Ru Tang"," ","Newly-Formulated Tangerine Peel and Bamboo Shavings Decoction"
"Direct Rebellious Qi Downward ","Xuan Fu Dai Zhe Tang","旋覆代赭湯","Inola and Hematite Decoctioon"
"Reduce Food Stagnation ","Bao He Wan","保和丸","Preserve Harmony Pill"
"Reduce Food Stagnation ","Jian Pi Wan","健脾丸","Strengthen the Spleen Pill"
"Reduce Food Stagnation ","Mu Xiang Bing Lang Wan","木香檳榔丸","Aucklandia and Betel Nut Pill from the Analytic Co"
"Reduce Food Stagnation ","Xiao Ru Wan","消乳丸","Reduce Infantile Stagnation Pill"
"Reduce Food Stagnation ","Zhi Shi Dao Zhi Wan","枳實導滯丸","Immature Bitter Orange Pill to Guide out Stagnation"
"Reduce Food Stagnation ","Zhi Shi Xiao Pi Wan","枳實消痞丸","Immature Bitter Orange Pill to Reduce Focal Distention"
"Reduce Food Stagnation ","Zhi Zhu Tang","枳朮湯","Immature Bitter Orange and Atractylodes Macrocephala Decoction"
"Reduce Food Stagnation ","Zhi Zhu Wan","枳朮丸","Immature Bitter Orange and Atractylodes Macrocephala Pill"
"Invigorate the Blood and Dispel Blood Stasis ","Bu Yang Huan Wu Tang","補陽還五湯","Tonify the Yang to Restore Five (Tenths) Decoction"
"Invigorate the Blood and Dispel Blood Stasis ","Da Huang Zhe Chong Wan","大黃蛰虫丸","Rhubarb and Eupolnhagea pill"
"Invigorate the Blood and Dispel Blood Stasis ","Dan Shen Yin","丹參飲","Salvia Decoction"
"Invigorate the Blood and Dispel Blood Stasis ","Di Dang Tang"," ","Resistance Decoction"
"Invigorate the Blood and Dispel Blood Stasis ","Ge Xia Zhu Yu Tang"," ","Drive Out Blood Stasis Below the Diaphragm Decoction"
"Invigorate the Blood and Dispel Blood Stasis ","Shao Fu Zhu Yu Tang"," ","Drive Out Blood Stasis in the Lower Abdomen Decoction"
"Invigorate the Blood and Dispel Blood Stasis ","Shen Tong Zhu Yu Tang"," ","Drive Out Blood Stasis from a Painful Body Decoction"
"Invigorate the Blood and Dispel Blood Stasis ","Shi Xiao San","失笑散","Sudden Smile Powder"
"Invigorate the Blood and Dispel Blood Stasis ","Shou Nian San"," ","Pinch Powder"
"Invigorate the Blood and Dispel Blood Stasis ","Shu Jing Huo Xue Tang"," ","Relax the Channels and Invigorate the Blood Decoction"
"Invigorate the Blood and Dispel Blood Stasis ","Tao He Cheng Qi Tang","桃核承氣湯","Peach Pit Decoction to Order the Qi"
"Invigorate the Blood and Dispel Blood Stasis ","Tong Qiao Huo Xue Tang"," ","Unblock the Orifices and Invigorate the Blood Decoction"
"Invigorate the Blood and Dispel Blood Stasis ","Xue Fu Zhu Yu Tang","血府逐瘀湯","Drive Out Stasis in the Mansion of Blood Decoction"
"Invigorate the Blood and Dispel Blood Stasis ","Yan Hu Suo Tang"," ","Corydalis Docoction"
"Clear Heat and Stop Bleeding ","Di Yu San"," ","Sanguisorba Powder"
"Clear Heat and Stop Bleeding ","Huai Hua San","槐花散","Sophora Japonica Flower Powder"
"Clear Heat and Stop Bleeding ","Huai Jiao Wan"," ","Sophora Japonica Fruit Pill"
"Clear Heat and Stop Bleeding ","Huang Tu Tang","黃土湯","Yellow Earth Decoction"
"Clear Heat and Stop Bleeding ","Ke Xue Fang","咳血方","Coughing of Blood Formula"
"Clear Heat and Stop Bleeding ","Ning Xue Tang"," ","Quiet the Blood Decoction"
"Clear Heat and Stop Bleeding ","Qing Jing Zhi Xue Tang"," ","Cool the Menses and Stop Bleeding Decoction"
"Clear Heat and Stop Bleeding ","Qing Re Zhi Beng Tang","清熱止崩湯","Clear Heat and Stop Excessive Uterine Bleeding Dec"
"Clear Heat and Stop Bleeding ","Shi Hui San","十灰散","Ten Partially-Charred Substances Powder"
"Clear Heat and Stop Bleeding ","Shun Jing Tang"," ","Smooth the Menses Decoction"
"Clear Heat and Stop Bleeding ","Si Sheng Wan","四生丸","Four-Fresh Pill"
"Tonify and Stop Bleeding ","Bai Ye Tang"," ","Biota Twig Decoction"
"Tonify and Stop Bleeding ","Ding Xiang Jiao Ai Tang"," ","Clove/ Ass-Hide Gelatin/ and Mugwort Decoction"
"Tonify and Stop Bleeding ","Jiao Ai Tang","膠艾湯","Ass-Hide Gelatin and Mugwort Decoction"
"Release Wind from the Skin and Channels ","Qian Zheng San","牽正散","Lead to Symmetry Powder"
"Release Wind from the Skin and Channels ","Si Wu Xiao Feng Yin","四物消風飲","Eliminate Wind Decoction with the Four Substances"
"Release Wind from the Skin and Channels ","Wu Hu Zhui Feng San","五虎逐風散","Five-Tiger Powder to Pursue Wind"
"Release Wind from the Skin and Channels ","Wu Tou Tang","烏頭湯","Aconite Decoction"
"Release Wind from the Skin and Channels ","Wu Yao Shun Qi San","烏藥順氣散","Lindera Powder to Smooth the Flow of Qi"
"Release Wind from the Skin and Channels ","Xiao Feng San","消風散","Eliminate Wind Powder"
"Release Wind from the Skin and Channels ","Xiao Feng San (modification 1)"," ","Eliminate Wind Powder from Imperial Grace Formulary"
"Release Wind from the Skin and Channels ","Xiao Feng San (modification 2)"," ","Eliminate Wind Powder from Effecctive Formulas"
"Release Wind from the Skin and Channels ","Xiao Huo Luo Dan","小活络丹","Minor Invigorate the Collaterals Special Pill"
"Release Wind from the Skin and Channels ","Xiao Xu Ming Tang","小續命湯","Minor Prolong Life Decoction"
"Release Wind from the Skin and Channels ","Xu Ming Tang","續命湯","Prolong Life Decoction"
"Release Wind from the Skin and Channels ","Yu Zhen San","玉真散","True Jade Powder"
"Release Wind from the Skin and Channels ","Zhi Jing San","止痙散","Stop Spasms Powder"
"Extinguish Internal Wind ","Da Ding Feng Zhu","大定風珠","Major Arrest Wind Pearl"
"Extinguish Internal Wind ","Di Huang Yin Zi","地黃飲子","Rehmannia Decoction"
"Extinguish Internal Wind ","E Jiao Ji Zi Huang Tang","阿膠雞子黃湯","Ass-Hide Gelatin and Egg Yolk Decoction"
"Extinguish Internal Wind ","Gou Teng Yin","鉤藤飲","Uncaria Decotion"
"Extinguish Internal Wind ","Jian Ling Tang"," ","Construct Roof Tiles Decoction"
"Extinguish Internal Wind ","Ling Jiao Gou Teng Tang","羚角芶藤湯","Antelope Horn and Unicaria Decoction"
"Extinguish Internal Wind ","San Jia Fu Mai Tang","三甲復脈湯","Three-Shell Decoction to Restore the Pulse"
"Extinguish Internal Wind ","Tian Ma Gou Teng Yin","天麻芶藤飲","Gastrodia and Uncaria Decoction"
"Extinguish Internal Wind ","Zhen Gan Xi Feng Tang","鎮肝熄風湯","Sedate the Liver and Extinquish Wind Decoction"
